paper_id,paper_title,q_id,q_type,question,expected_answer,expected_concepts,difficulty,source_page,status,reviewer_notes,corrected_answer,corrected_concepts
11_asf_burkina_faso,11_asf_burkina_faso,11_asf_burkina_faso_CO2,conceptual,How did the researchers use multi-gene analysis to establish the genetic identity and classification of the ASFV strains responsible for the outbreaks?,"The researchers combined sequencing and phylogenetic analysis of several genes to classify the isolates. They used the partial p72 (B646L) and complete p54 (E183L) genes to identify the virus as Genotype I (specifically Genotype Ia), while the analysis of partial CD2v amino acid sequences allowed them to cluster the isolates into Serogroup 4. This multi-locus approach provided a higher resolution of the virus's identity than single-gene sequencing alone.","Genotype I, Serogroup 4, p72, p54, CD2v, phylogenetic analysis",medium,"1, 5, 6, 8",PENDING,,,
11_asf_burkina_faso,11_asf_burkina_faso,11_asf_burkina_faso_TE3,technical,"What specific software and phylogenetic methods were utilized for the analysis of the ASFV sequences, and what variation was found in the Central Variable Region (CVR)?","The study utilized MEGA 7 software to perform phylogenetic analysis using Neighbor-Joining (NJ), Minimum Evolution (ME), and Maximum Likelihood (ML) methods. Analysis of the B602L gene's Central Variable Region (CVR) revealed four distinct variants of the Tetrameric Repeat Sequence (TRS), containing 32, 24, 23, and 12 repeat units respectively.","MEGA 7, Neighbor-Joining, Minimum Evolution, Maximum Likelihood, Central Variable Region, Tetrameric Repeat Sequence",hard,4,PENDING,,,
16_ppr_ethiopia,16_ppr_ethiopia,16_ppr_ethiopia_FR1,factual_recall,"How many total PPR outbreaks were recorded in the Borena Zone between 2018 and 2022, and which specific month saw the highest percentage of these outbreaks?","According to the retrospective analysis of the DOVAR-II system, a total of 53 PPR outbreaks occurred in the Borena Zone between 2018 and 2022. The seasonal peak for these outbreaks was in January, which accounted for 20.8% of the total recorded cases.","53 outbreaks, Borena Zone, 2018-2022, January, 20.8%",easy,1,PENDING,,,
16_ppr_ethiopia,16_ppr_ethiopia,16_ppr_ethiopia_CO2,conceptual,Why does the study conclude that the current PPR herd immunity in the Borena Zone is insufficient according to international standards?,The study found that the herd immunity level in the region was 68.8% among vaccinated animals. This is considered insufficient because it falls below the 80% threshold recommended by the FAO and WOAH (World Organisation for Animal Health) to effectively control and eliminate the disease within a population.,"68.8%, 80% threshold, FAO-WOAH, herd immunity, vaccination coverage",medium,"1, 4",PENDING,,,
16_ppr_ethiopia,16_ppr_ethiopia,16_ppr_ethiopia_TE3,technical,"Using the multivariable logistic regression results, how do animal age and origin (gifted or purchased) quantify the risk of PPR seropositivity in nonvaccinated animals?","The multivariable logistic regression showed that older animals were 7.3 times more likely to be seropositive (OR: 7.3; 95%CI: 2.7–19.4) compared to adult animals. Furthermore, animal origin was a significant risk factor, with gifted animals being 8.3 times more likely (OR: 8.3) and purchased animals being 4 times more likely (OR: 4) to be seropositive than those born within the flock.","multivariable logistic regression, odds ratio, older animals, gifted animals, purchased animals, OR: 7.3",hard,4,PENDING,,,
28_otu_vs_asv,28_otu_vs_asv,28_otu_vs_asv_FR1,factual_recall,How many total taxa were identified in the full dataset by the OTU-based pipeline compared to the ASV-based pipeline prior to filtering?,"According to the study's results and Table 1, the OTU-based pipeline identified 67,015 taxa in the full dataset. In contrast, the ASV-based pipeline reported significantly fewer unique sequences, identifying only 8,005 taxa.","67,015, 8,005, OTU-based pipeline, ASV-based pipeline, Table 1",easy,5,PENDING,,,
28_otu_vs_asv,28_otu_vs_asv,28_otu_vs_asv_CO2,conceptual,How does the choice of bioinformatic pipeline influence the interpretation of microbial community diversity and composition across different sample types?,"The choice of pipeline results in deviations in community composition ranging from 6.75% to 10.81%, with the OTU-based approach generally reporting higher alpha-diversity and significantly more unique taxa. These inconsistencies are not uniform across all samples; they are more pronounced in biological samples with high variability, such as primary and waste-activated sewage sludge (PWASS), compared to more stable reactor treatments.","alpha-diversity, community composition, pipeline-based deviation, PWASS, variability",medium,"5, 7",PENDING,,,
28_otu_vs_asv,28_otu_vs_asv,28_otu_vs_asv_TE3,technical,What specific software tools and clustering parameters were utilized to define the OTU-based and ASV-based pipelines in this research?,"The OTU-based pipeline utilized VSEARCH for sequence clustering using a 97% similarity threshold. The ASV-based pipeline was implemented using the DADA2 package, which employs specific sequencing error correction algorithms to identify exact amplicon sequence variants rather than clustering by a fixed percentage.","VSEARCH, 97% similarity, DADA2, error correction algorithms, clustering",medium,Methods,PENDING,,,
41_salmonella_wgs_amr,41_salmonella_wgs_amr,41_salmonella_wgs_amr_FR1,factual_recall,"Which specific beta-lactam resistance gene was most commonly identified in Salmonella isolates from imported chicken, and what was its prevalence?","The most common determinant for beta-lactam resistance was blaCMY-2, which was found in 54% of the chicken isolates.","blaCMY-2, 54%, beta-lactam resistance, chicken isolates",easy,7,PENDING,,,
41_salmonella_wgs_amr,41_salmonella_wgs_amr,41_salmonella_wgs_amr_CO2,conceptual,"Based on the findings, how do the antimicrobial resistance (AMR) profiles and serovar distributions differ between Salmonella found in imported raw chicken versus imported edible leaves?","Salmonella from imported raw chicken shows a much higher prevalence of resistance (93%) and multidrug resistance (71%) compared to isolates from edible leaves (3% resistance and 2% MDR). Furthermore, chicken isolates are dominated by specific highly resistant serovars like S. Heidelberg from Brazil, while leaves show a different variety of serovars distributed across various countries of origin as seen in Figure 1.","multidrug resistance (MDR), S. Heidelberg, prevalence, raw chicken, edible leaves",medium,"1, 4, 5",PENDING,,,
41_salmonella_wgs_amr,41_salmonella_wgs_amr,41_salmonella_wgs_amr_TE3,technical,What bioinformatics pipeline and specific quantitative threshold did the researchers use to establish genetic relatedness between Salmonella isolates?,"The researchers used Whole Genome Sequencing (WGS) on the Illumina HiSeq 2500 platform and analyzed the data using KmerID for identification, MOST for MLST typing, and SNP typing for genomic relationships. They defined isolates as being genetically related if they exhibited a pairwise SNP difference of ≤5.","SNP typing, ≤5 SNPs, KmerID, MOST, Illumina HiSeq 2500, pairwise SNP difference",hard,Methods,PENDING,,,
07_salmon,07_salmon,07_salmon_FR1,factual_recall,By what percentage range was Salmon's sensitivity higher in differential expression testing compared to other tools at the same False Discovery Rates (FDRs)?,"Salmon exhibited significantly higher sensitivity in differential expression testing, showing a range of 53% to 450% higher sensitivity compared to other tools at the same False Discovery Rates.","sensitivity, False Discovery Rates, FDR, differential expression testing",easy,2,PENDING,,,
07_salmon,07_salmon,07_salmon_CO2,conceptual,How does Salmon's method of bias correction specifically improve the outcomes of differential expression (DE) analysis?,"Salmon is the first transcriptome-wide quantifier to correct for fragment GC content bias, alongside sequence-specific and positional biases. By modeling these technical artifacts, Salmon reduces false-positive DE calls (decreasing them by a factor of ~2.6 in specific GEUVADIS comparisons) and improves the overall accuracy and reliability of the analysis.","fragment GC content bias, technical artifacts, false-positive, differential expression analysis, reliability",medium,1-2,PENDING,,,
07_salmon,07_salmon,07_salmon_TE3,technical,Describe the algorithmic components and optimization techniques Salmon uses to achieve speed comparable to ultra-fast alignment-free tools while maintaining accuracy.,"Salmon utilizes a dual-phase parallel inference algorithm consisting of online and offline phases, combined with lightweight-mapping (quasi-mapping) for ultra-fast read mapping. For quantification, it employs variational Bayesian (VB) and Expectation-Maximization (EM) optimization, specifically utilizing stochastic, collapsed variational Bayesian inference and rich equivalence classes.","dual-phase parallel inference, lightweight-mapping, variational Bayesian, Expectation-Maximization, rich equivalence classes",hard,"1, 3",PENDING,,,
43_esbl_ecoli_food,43_esbl_ecoli_food,43_esbl_ecoli_food_FR1,factual_recall,What are the reported annual figures for infections and deaths attributed to ESBL-producing E. coli in the European public health sector?,"In Europe, ESBL-producing E. coli has a significant impact on public health, causing approximately 300,000 infections annually. These infections are associated with an estimated 9,000 deaths.","300,000 infections, 9,000 deaths, Europe, ESBL-producing E. coli",easy,6,PENDING,,,
43_esbl_ecoli_food,43_esbl_ecoli_food,43_esbl_ecoli_food_CO2,conceptual,"How does the paper support the claim that ESBL-producing E. coli transmission constitutes a cycle between animals, the environment, and humans?","The paper illustrates complex transmission pathways through an epidemiological diagram involving farms, food industries, and environmental vectors like water and soil. This conceptual framework is supported by genetic analysis showing nearly identical plasmid backbones across various lineages in chickens, cattle, swine, and humans, indicating that the resistance markers are shared across these diverse sectors.","transmission pathways, plasmid backbones, environmental contamination, animal-to-human, genetic similarity",medium,"2, 4",PENDING,,,
43_esbl_ecoli_food,43_esbl_ecoli_food,43_esbl_ecoli_food_TE3,technical,"According to the modeling studies reviewed, what specific reduction in ESBL-producing E. coli prevalence within poultry parent stock is necessary to impact human prevalence?",Modeling studies indicate that the prevalence of ESBL-producing E. coli in poultry parent stock and their associated broiler environments must be reduced to a threshold of less than 1%. Reaching this specific target is projected to drastically reduce the subsequent prevalence of these bacteria in the human population.,"modeling studies, parent stock, less than 1%, prevalence reduction, broiler environments",hard,4,PENDING,,,
37_data_driven_one_health,37_data_driven_one_health,37_data_driven_one_health_FR1,factual_recall,"According to the World Bank, what specific percentage of operational savings can be achieved by co-locating human and animal health laboratories?","Hosting human and animal health laboratories under one roof can provide 26% savings in operational costs, as cited from the World Bank [15] in Table 1.","26%, operational costs, laboratories, World Bank, one roof",easy,3,PENDING,,,
37_data_driven_one_health,37_data_driven_one_health,37_data_driven_one_health_CO2,conceptual,How does the One Health multisectoral framework theoretically reduce disease incidence and economic damage during a zoonotic spillover event?,"The One Health framework utilizes integrated surveillance and early detection to identify infections as they amplify from wild animals through livestock. By intervening early, the system reduces disease incidence in both humans and animals, thereby preventing the severe economic damage seen in cases like Sierra Leone's GDP drop during the Ebola epidemic.","early detection, integrated surveillance, amplification, economic damage, disease incidence",medium,4-5,PENDING,,,
37_data_driven_one_health,37_data_driven_one_health,37_data_driven_one_health_TE3,technical,"Regarding the machine learning modeling referenced from Mollentze et al., what features were used for zoonotic risk prediction and what was the reported accuracy for high-potential viruses?",The machine learning models utilized viral and human genome sequence features to predict risk. These models successfully identified 70.8% of human viruses that possessed high or very high zoonotic potential.,"viral and human genome sequence features, 70.8%, zoonotic potential, Mollentze et al., machine learning",medium,4,PENDING,,,
29_16s_best_practices,29_16s_best_practices,29_16s_best_practices_FR1,factual_recall,What is the recommended target for raw read numbers per sample when starting a 16S rRNA gene sequencing study without prior pilot data?,"In the absence of pilot data for a specific matrix, the paper recommends a raw read number target of 10,000 reads per sample. This serves as a good starting point for researchers to ensure sufficient sequencing depth.","10,000 reads, raw read number, pilot data, 16S rRNA gene sequencing",easy,9,PENDING,,,
29_16s_best_practices,29_16s_best_practices,29_16s_best_practices_CO2,conceptual,Why are Amplicon Sequence Variants (ASVs) considered superior to Operational Taxonomic Units (OTUs) for modern microbiome comparative analyses?,"ASVs are preferred because they can distinguish sequencing errors from true biological variation, allowing for finer biological resolution. Furthermore, unlike OTUs, ASVs can be independently generated and compared across different studies, making them more suitable for large-scale or meta-analysis research.","sequencing errors, biological variation, cross-study comparison, taxonomic resolution",medium,10,PENDING,,,
29_16s_best_practices,29_16s_best_practices,29_16s_best_practices_TE3,technical,How does the technical approach of rarefaction differ from scaling normalization methods like TMM or DESeq2 in handling sample variance?,"Rarefaction equalizes sample variance by subsampling data to a common depth, which has the drawback of discarding potentially valuable data and introducing artificial uncertainty. In contrast, scaling normalization methods like TMM or DESeq2's median of ratios use mathematical transformations to normalize data without the need to discard sequences.","rarefaction, subsampling, TMM, DESeq2, scaling normalization, artificial uncertainty",hard,11,PENDING,,,
04_fastp,04_fastp,04_fastp_FR1,factual_recall,"In a speed evaluation on a 9,316 M base dataset, what were the specific processing times for fastp (PE) compared to Trimmomatic?","In the evaluation, fastp (PE) took 13.3 minutes to process the dataset. In contrast, Trimmomatic required 60.9 minutes, making fastp approximately 4.5 times faster in this specific comparison.","13.3 minutes, 60.9 minutes, fastp (PE), Trimmomatic, speed evaluation",easy,5,PENDING,,,
04_fastp,04_fastp,04_fastp_CO2,conceptual,What design choices and implementation strategies allow fastp to achieve higher performance and lower I/O overhead than traditional FASTQ tools?,"fastp achieves high performance by being implemented in C++ and utilizing multi-threading via a thread pool with data packing (N=1000 reads per pack). To minimize I/O overhead, it employs a single-scan processing architecture, which allows it to perform multiple QC and filtering tasks in one pass rather than reading and writing data multiple times.","C++ implementation, multi-threading, thread pool, single-scan processing, I/O overhead, data packing",medium,Methods,PENDING,,,
04_fastp,04_fastp,04_fastp_TE3,technical,How does fastp's methodology for adapter detection differ between single-end and paired-end sequencing data?,"For single-end data, fastp utilizes a K-mer based automatic adapter detection method. For paired-end data, it uses an overlap-analysis based approach, which not only detects adapters but also enables base correction in the overlapping regions of the reads.","K-mer based, automatic adapter detection, single-end, overlap-analysis, paired-end, base correction",hard,"Methods, 3",PENDING,,,
47_htsflow,47_htsflow,47_htsflow_FR1,factual_recall,What are the five critical issues identified by the authors for effective NGS data management?,"The five critical issues identified for NGS data management are structuring raw data, monitoring analysis flow, automatizing and documenting tools, providing ease of use through a Graphical User Interface (GUI), and ensuring data reproducibility via metadata standards.","structuring raw data, monitoring analysis flow, automatizing tools, ease of use, data reproducibility, metadata standards",easy,1,PENDING,,,
47_htsflow,47_htsflow,47_htsflow_CO2,conceptual,How does HTS-flow balance the trade-off between user accessibility and analytical flexibility compared to platforms like Galaxy?,"HTS-flow prioritizes automation and ease of use for non-experienced users by integrating directly with SMITH LIMS and offering predefined modular scripts. While this approach provides higher automation and streamlines the workflow for biologists, it sacrifices some of the granular parameter flexibility available in more manual platforms like Galaxy.","automation, parameter flexibility, non-experienced users, LIMS integration, standardization, Galaxy",medium,5,PENDING,,,
47_htsflow,47_htsflow,47_htsflow_TE3,technical,Which specific software libraries and packages does HTS-flow utilize to ensure genomic reproducibility and perform secondary analysis of mRNA kinetics?,"HTS-flow ensures reproducibility by adopting standard Bioconductor metadata libraries, specifically TxDb and BSgenome. For specialized secondary analysis involving the quantification of mRNA synthesis and degradation, the system integrates the INSPEcT package.","TxDb, BSgenome, INSPEcT, mRNA synthesis, Bioconductor, reproducibility",hard,5,PENDING,,,
49_pdbinder,49_pdbinder,49_pdbinder_FR1,factual_recall,What specific Matthews Correlation Coefficient (MCC) and Positive Predictive Value (PPV) did PDBinder achieve on the holo (bound) test set of 239 complex pairs?,"According to the findings, on a set of 239 holo complex pairs, PDBinder obtained an MCC of 0.313 with a PPV of 0.413. These metrics characterize the method's performance in identifying binding residues in the bound state of the protein.","MCC, PPV, 0.313, 0.413, holo test set",easy,1,PENDING,,,
49_pdbinder,49_pdbinder,49_pdbinder_CO2,conceptual,"How does PDBinder's performance on apo proteins compare to its performance on holo proteins, and what does this suggest about the method's robustness?","PDBinder maintains robust performance when transitioning from holo to apo proteins, with the MCC only dropping from 0.313 to 0.271 and the PPV from 0.413 to 0.372. This relatively small decrease in performance, compared to other existing tools, suggests that PDBinder's knowledge-based structural motifs are effective at identifying binding sites even when the protein has not undergone ligand-induced conformational changes.","apo proteins, performance drop, robustness, structural motifs, ligand-induced changes",medium,1,PENDING,,,
49_pdbinder,49_pdbinder,49_pdbinder_TE3,technical,Explain the role of 'Spatial Clustering' in the PDBinder methodology and the specific parameters used for this step.,"Spatial Clustering is used as a refinement step in the PDBinder pipeline to improve residue predictions. It utilizes a 10 Å radius filtering step to discard high-propensity predictions that are spatially isolated, thereby focusing the prediction on clustered regions more likely to form a functional binding site.","Spatial Clustering, 10 Å radius, filtering, spatially isolated, refine residue predictions",medium,1,PENDING,,,
08_deseq2,08_deseq2,08_deseq2_FR1,factual_recall,"In the reproducibility analysis where a dataset was split into two independent halves, what specific improvement in the overlap of the top 100 genes was observed when using shrunken MAP estimates compared to standard MLE estimates?",The overlap of the top 100 genes ranked by fold change improved from 21% using standard MLE estimates to 81% when using shrunken MAP estimates. This demonstrates that shrunken LFC estimates are significantly more reproducible than standard estimates.,"MAP estimates, MLE estimates, reproducibility, fold change, overlap percentage",easy,5,PENDING,,,
08_deseq2,08_deseq2,08_deseq2_CO2,conceptual,How does the DESeq2 framework utilize Empirical Bayes shrinkage to handle the high uncertainty associated with low-count genes in both dispersion and fold change estimation?,"DESeq2 applies Empirical Bayes shrinkage in two distinct steps: first, gene-wise dispersion estimates are shrunk toward a mean-dependent trend line to stabilize variance. Second, logarithmic fold change (LFC) estimates are shrunk toward zero using a zero-centered normal prior (MAP estimation), which effectively filters out noisy, high-fold-change estimates caused by low-count genes and improves the ranking of genes for downstream analysis.","Empirical Bayes shrinkage, dispersion estimation, MAP estimation, low-count genes, logarithmic fold change, trend line",medium,"3, 4, 5",PENDING,,,
08_deseq2,08_deseq2,08_deseq2_TE3,technical,"What is the specific purpose of the regularized logarithm (rlog) transformation, and how does its performance compare to an ordinary log transformation in terms of variance stabilization?","The rlog transformation is designed for variance stabilization across the entire dynamic range of count data. Unlike the ordinary log transformation, where gene-wise standard deviation remains highly variable and dependent on the mean, rlog ensures that the standard deviation remains stable across the range of mean counts, which is particularly beneficial for sample clustering and distance visualizations.","regularized logarithm (rlog), variance stabilization, standard deviation, mean expression, dynamic range, clustering",hard,8,PENDING,,,
18_fmd_review,18_fmd_review,18_fmd_review_FR1,factual_recall,"According to the paper, what are the primary sites of FMDV infection in ruminants and pigs?","The primary site of FMDV infection in ruminants is the nasopharynx (specifically the nasopharyngeal mucosa). In pigs, the primary infection site is the oropharynx, typically involving the oropharyngeal tonsils.","nasopharynx, oropharynx, ruminants, pigs, primary site of infection",easy,5,PENDING,,,
18_fmd_review,18_fmd_review,18_fmd_review_CO2,conceptual,"How does the FMDV 'carrier state' differ between pigs and ruminants, and what biological evidence challenges the historical 28-day threshold for this state?","Pigs do not develop a persistent carrier state and efficiently clear FMDV from all tissues following recovery, whereas ruminants can maintain the virus long-term. The historical 28-day threshold for defining this state is considered biologically arbitrary because it was based on fixed study durations; current research shows the biological transition to a persistent state actually occurs between 7-21 days post-infection.","carrier state, persistence, 28-day threshold, ruminants, viral clearance, 7-21 days",hard,"5, 8",PENDING,,,
18_fmd_review,18_fmd_review,18_fmd_review_TE3,technical,What are the specific quantitative estimates for preclinical transmission (theta) in pigs and cattle as identified in the research synthesis?,"The proportion of preclinical transmission, represented as theta, is estimated at 0.12 (12%) for pigs. In cattle, this value is significantly higher, ranging up to 0.44 (44%) when using proxy measures of viral presence.","preclinical transmission, theta, 0.12, 0.44, proxy measures",medium,11,PENDING,,,
35_isse_framework_amr,35_isse_framework_amr,35_isse_framework_amr_FR1,factual_recall,What are the five distinct levels of evaluation defined in the Integrated Surveillance System Evaluation (ISSE) framework?,"The ISSE framework consists of five levels: level 1 is integration, level 2 is the production of information, level 3 is the generation of knowledge, level 4 is the influence on decisions, and level 5 is the impact on outcomes. These levels were developed using a participatory process to assess the entire value chain of a surveillance system.","integration, production of information, generation of knowledge, influence on decisions, impact on outcomes",easy,4,PENDING,,,
35_isse_framework_amr,35_isse_framework_amr,35_isse_framework_amr_CO2,conceptual,Why did the authors conclude that existing evaluation tools like ATLASS and NEOH were insufficient for assessing the full value of integrated surveillance systems?,"Based on a mapping exercise of 12 existing tools, the authors found that none of the tools covered all five levels of the ISSE framework. While tools like ATLASS cover multiple levels, most focus heavily on the early stages like integration (Level 1) or information production (Level 2), leaving a gap in evaluating how surveillance actually influences decisions and impacts public health outcomes.","review of 12 existing tools, none specifically developed for OH integrated surveillance, coverage gaps in evaluation levels, decision-making, impact on outcomes",medium,8,PENDING,,,
35_isse_framework_amr,35_isse_framework_amr,35_isse_framework_amr_TE3,technical,How does the ISSE framework technically measure the level of One Health integration across different surveillance activities?,"The framework utilizes a semi-quantitative measurement scale ranging from 0 to 5 to assess the degree of integration. This measurement is specifically applied across four core surveillance activities: data collection, analysis, interpretation, and dissemination.","semi-quantitative scale, 0-5 scale, collection, analysis, interpretation, dissemination",hard,Table 3,PENDING,,,
38_one_health_africa,38_one_health_africa,38_one_health_africa_FR1,factual_recall,What is the reported case fatality rate for bat-originated viral zoonotic diseases in Africa according to the paper?,The paper reports a 61% case fatality rate for bat-originated viral zoonotic diseases in Africa. This high rate contributes to the disproportionately fatal burden of zoonotic diseases on the continent.,"61%, case fatality rate, bat-originated, viral zoonotic diseases, Africa",easy,2,PENDING,,,
38_one_health_africa,38_one_health_africa,38_one_health_africa_CO2,conceptual,How does the paper justify the 'business case' for the One Health approach in the context of zoonotic disease prevention?,"The economic justification, or 'business case,' for the One Health approach is based on the high cost-effectiveness of primary prevention. The paper notes that prevention actions cost less than 1/20th of the value of lives lost each year to these diseases, making a strong argument for institutionalizing these strategies to mitigate the high burden of illness and death.","business case, primary prevention, cost-effective, 1/20th, value of lives lost, One Health approach",medium,2,PENDING,,,
38_one_health_africa,38_one_health_africa,38_one_health_africa_TE3,technical,"According to the disease burden metrics provided, what percentages of existing and emerging infectious diseases in humans are zoonotic, and what is the resulting impact in low- and middle-income countries?",The paper cites that 60% of existing and 75% of newly emerging infectious diseases in humans are zoonotic. These diseases result in an estimated 2.5 billion cases of human illness and 2.7 million deaths annually within low- and middle-income countries.,"60%, 75%, emerging infectious diseases, 2.5 billion cases, 2.7 million deaths, low- and middle-income countries",medium,2,PENDING,,,
10_cutadapt,10_cutadapt,10_cutadapt_FR1,factual_recall,What unique capability does Cutadapt offer compared to other standalone tools in the context of read trimming?,Cutadapt is the only standalone tool that is capable of correctly trimming color-space reads (SOLiD data). This distinguishes it from other tools that may require integrated pipelines or lack support for double encoding.,"standalone tool, color-space, trimming, SOLiD",easy,1,PENDING,,,
